TOWN,BLOCK,ADDRESS,POSTAL_CODE,LATITUDE,LONGITUDE,MAX_FLOOR,SUBZONE,PLANNING_AREA,REGION,DIST_NEAREST_HAWKER_WALK,DIST_NEAREST_MRT_WALK,DIST_NEAREST_PRI_SCH_WALK,DIST_NEAREST_SEC_SCH_WALK,DIST_NEAREST_MALL_WALK
kallang/whampoa,51,jalan bahagia,320051,1.327722,103.856021,2,balestier,novena,central region,711.5,1614.8,1150.2,1032.7,1940.9
jurong west,199,boon lay drive,640199,1.343706,103.714485,15,boon lay place,jurong west,west region,510.3,1174.2,450.9,1085.5,1444.3
bedok,501,bedok north street 3,460501,1.331641,103.931168,14,bedok north,bedok,east region,434.3,872.7,273.1,692.0,1394.0
bukit panjang,441,fajar road,670441,1.383222,103.770837,12,fajar,bukit panjang,west region,6030.1,1622.1,741.2,1301.1,1641.2
woodlands,734,woodlands circle,730734,1.443892,103.79795,12,woodlands east,woodlands,north region,2764.8,837.4,317.9,540.3,1918.5
queenstown,100,commonwealth crescent,140100,1.307705,103.801272,10,commonwealth,queenstown,central region,223.2,827.9,1022.7,1029.8,1021.0
sengkang,338C,anchorvale crescent,543338,1.400001,103.890078,16,anchorvale,sengkang,north-east region,5844.2,1470.1,811.9,1489.9,1426.9
choa chu kang,152,jalan teck whye,680152,1.378818,103.758024,15,teck whye,choa chu kang,west region,5120.0,663.6,1054.7,864.0,497.6
pasir ris,527B,pasir ris street 51,512527,1.368995,103.94771,13,pasir ris central,pasir ris,east region,3924.0,523.9,1121.8,519.2,1506.7
jurong west,361,yung an road,610361,1.335804,103.720314,12,taman jurong,jurong west,west region,727.2,1535.0,550.0,1282.2,2161.3
pasir ris,130,pasir ris street 11,510130,1.365365,103.956938,8,pasir ris drive,pasir ris,east region,4131.0,856.3,723.1,364.0,811.2
woodlands,618,woodlands avenue 4,730618,1.433641,103.796644,12,woodlands east,woodlands,north region,2189.5,1051.0,702.3,1138.7,1346.0
yishun,824,yishun street 81,760824,1.413745,103.833303,11,yishun south,yishun,north region,2581.3,523.0,1166.1,732.4,1939.9
choa chu kang,530,choa chu kang street 51,680530,1.39268,103.741839,12,choa chu kang north,choa chu kang,west region,6823.7,1087.1,594.9,495.4,3093.1
hougang,527,hougang avenue 6,530527,1.374763,103.890627,13,hougang west,hougang,north-east region,2498.0,1082.3,910.3,970.9,543.3
yishun,167,yishun ring road,760167,1.436613,103.832357,12,yishun west,yishun,north region,925.9,1039.7,640.6,455.1,1104.0
bedok,104,bedok north avenue 4,460104,1.333299,103.936601,14,bedok north,bedok,east region,445.2,1087.4,532.2,611.4,2317.2
pasir ris,244,pasir ris street 21,510244,1.371455,103.963383,13,pasir ris drive,pasir ris,east region,4687.0,1302.7,434.5,445.9,1257.6
serangoon,217,serangoon avenue 4,550217,1.357635,103.872091,12,serangoon garden,serangoon,north-east region,1613.0,1173.2,1175.9,753.5,916.4
pasir ris,768,pasir ris street 71,510768,1.375371,103.935518,16,pasir ris west,pasir ris,east region,5322.1,1235.5,500.6,2624.5,2827.5
tampines,731,tampines street 71,520731,1.357007,103.934099,14,tampines west,tampines,east region,2860.3,1677.9,780.9,690.3,1280.4
bedok,508,bedok north avenue 3,460508,1.3334,103.932519,14,bedok north,bedok,east region,301.1,698.3,13.1,619.9,1659.2
toa payoh,3,upper aljunied lane,360003,1.333993,103.879893,10,joo seng,toa payoh,central region,1453.8,1489.5,677.5,977.9,2946.7
bukit merah,21,lim liak street,161021,1.285438,103.832161,4,tiong bahru,bukit merah,central region,156.3,428.1,974.2,1004.8,717.5
bukit merah,109,jalan bukit merah,160109,1.279427,103.826087,13,kampong tiong bahru,bukit merah,central region,153.9,1077.6,895.3,1183.4,1095.3
yishun,153,yishun street 11,760153,1.431168,103.834264,12,yishun west,yishun,north region,777.6,487.7,486.8,856.6,776.1
serangoon,256,serangoon central drive,550256,1.355102,103.871447,15,serangoon central,serangoon,north-east region,1489.4,875.4,861.4,721.8,592.8
ang mo kio,163,ang mo kio avenue 4,560163,1.373549,103.838176,4,kebun bahru,ang mo kio,north-east region,173.9,448.9,707.5,849.5,1666.6
hougang,154,hougang street 11,530154,1.352203,103.880173,11,lorong ah soo,hougang,north-east region,1312.9,990.7,1471.7,848.7,1192.6
central area,668,chander road,210668,1.307581,103.851478,13,farrer park,rochor,central region,385.0,298.4,715.2,1054.3,409.3
punggol,175C,punggol field,823175,1.398135,103.908148,17,punggol field,punggol,north-east region,6015.6,1300.7,302.6,571.7,729.7
tampines,488A,tampines avenue 9,520488,1.360222,103.956336,12,tampines east,tampines,east region,2750.2,592.4,1123.3,13.9,1421.4
bukit merah,105A,depot road,101105,1.281071,103.811406,21,depot road,bukit merah,central region,1038.9,1686.7,1294.5,1664.5,2013.6
pasir ris,256,pasir ris street 21,510256,1.367525,103.963727,10,pasir ris drive,pasir ris,east region,4249.6,865.2,732.0,355.1,820.1
choa chu kang,306,choa chu kang avenue 4,680306,1.384957,103.742878,14,choa chu kang central,choa chu kang,west region,5773.2,286.2,836.1,971.0,2362.8
clementi,208A,clementi avenue 6,121208,1.321923,103.762385,38,clementi north,clementi,west region,1178.0,893.1,433.2,1174.3,991.7
ang mo kio,648,ang mo kio avenue 5,560648,1.378239,103.84372,13,yio chu kang west,ang mo kio,north-east region,543.8,641.9,962.0,194.0,1837.0
bedok,102,bedok north avenue 4,460102,1.333907,103.937458,14,bedok north,bedok,east region,398.1,1040.4,485.1,564.3,2270.2
choa chu kang,485C,choa chu kang avenue 5,683485,1.374799,103.73897,16,peng siang,choa chu kang,west region,5052.3,703.9,723.9,1048.0,2955.7
punggol,207C,punggol place,823207,1.400654,103.900349,16,matilda,punggol,north-east region,6015.8,872.0,667.7,397.7,1248.0
tampines,501,tampines central 1,520501,1.355682,103.944449,4,tampines east,tampines,east region,1637.9,126.1,651.4,812.0,449.4
yishun,637A,yishun street 61,761637,1.42046,103.839286,4,yishun south,yishun,north region,2284.7,1282.6,502.7,783.0,1217.3
tampines,463,tampines street 44,520463,1.359244,103.954641,12,tampines east,tampines,east region,2888.5,765.7,1010.9,566.6,1314.9
punggol,268A,punggol field,821268,1.404112,103.897399,16,matilda,punggol,north-east region,6070.0,868.4,421.4,803.0,933.4
bishan,186,bishan street 13,570186,1.349346,103.852579,11,bishan east,bishan,central region,1860.6,875.9,387.3,341.4,846.3
bedok,410,bedok north avenue 2,460410,1.327888,103.931836,11,bedok north,bedok,east region,226.2,626.5,370.0,1136.0,915.9
jurong west,857,jurong west street 81,640857,1.348026,103.696738,14,yunnan,jurong west,west region,2309.3,167.7,542.9,1114.4,642.1
sembawang,118B,canberra crescent,752118,1.445029,103.82946,11,sembawang east,sembawang,north region,1991.0,339.9,1621.6,1304.3,304.1
bishan,407,sin ming avenue,570407,1.363453,103.834215,13,upper thomson,bishan,central region,1157.8,279.8,568.5,708.5,1647.1
toa payoh,108,potong pasir avenue 1,350108,1.33472,103.867928,14,potong pasir,toa payoh,central region,1659.6,516.5,636.6,477.5,2645.9
bukit merah,5,telok blangah crescent,090005,1.278724,103.81922,16,telok blangah way,bukit merah,central region,437.7,1638.1,982.8,839.8,1671.9
ang mo kio,120,ang mo kio avenue 3,560120,1.370047,103.844595,11,kebun bahru,ang mo kio,north-east region,852.7,931.1,761.3,852.9,904.0
sembawang,402,admiralty link,750402,1.453891,103.815769,15,sembawang north,sembawang,north region,3420.0,1058.0,227.0,430.4,1013.7
choa chu kang,208,choa chu kang central,680208,1.381461,103.748183,13,choa chu kang central,choa chu kang,west region,5450.2,791.3,323.3,1098.9,1817.3
bukit batok,449B,bukit batok west avenue 9,652449,1.351979,103.741081,19,brickworks,bukit batok,west region,1636.2,1208.6,790.2,989.1,1261.5
punggol,220B,sumang lane,822220,1.40151,103.895421,17,matilda,punggol,north-east region,5908.2,1185.5,623.5,887.6,1280.1
jurong west,618,jurong west street 65,640618,1.341554,103.700503,16,jurong west central,jurong west,west region,1826.2,631.4,463.8,191.6,643.7
punggol,217C,sumang walk,823217,1.402359,103.895494,17,matilda,punggol,north-east region,5954.0,1170.5,622.8,798.2,1260.5
bedok,407,bedok north avenue 3,460407,1.328463,103.933683,25,bedok north,bedok,east region,425.8,985.3,450.0,884.7,1274.7
queenstown,94,commonwealth drive,140094,1.305586,103.800744,10,commonwealth,queenstown,central region,274.8,628.6,781.9,788.9,1205.7
woodlands,828,woodlands street 81,730828,1.43954,103.789984,4,midview,woodlands,north region,1995.6,872.5,652.4,515.3,1149.4
woodlands,889A,woodlands drive 50,731889,1.437562,103.79332,16,midview,woodlands,north region,2000.3,1211.4,324.1,974.0,1140.6
jurong east,223A,jurong east street 21,601223,1.341372,103.736754,10,yuhua east,jurong east,west region,686.5,629.9,878.2,973.2,1463.7
jurong west,668D,jurong west street 64,644668,1.341258,103.703001,16,jurong west central,jurong west,west region,1465.2,582.9,780.5,266.1,695.5
queenstown,152,mei ling street,140152,1.293832,103.802625,12,mei chin,queenstown,central region,497.0,688.4,916.5,993.1,1006.2
pasir ris,409,pasir ris drive 6,510409,1.372917,103.954226,11,pasir ris drive,pasir ris,east region,5032.9,1113.0,530.6,935.6,581.4
hougang,961,hougang avenue 9,530961,1.377752,103.878665,15,trafalgar,hougang,north-east region,2922.1,1498.0,697.8,575.4,2239.8
bukit merah,84,telok blangah heights,100084,1.276853,103.809949,20,telok blangah drive,bukit merah,central region,564.4,890.1,427.2,1995.8,1537.4
choa chu kang,283,choa chu kang avenue 3,680283,1.379709,103.742871,16,keat hong,choa chu kang,west region,5134.8,663.0,287.5,1099.7,2301.8
kallang/whampoa,64,jalan ma'mor,320064,1.328532,103.857852,2,balestier,novena,central region,951.0,1536.0,1136.1,928.3,2089.0
sengkang,316B,anchorvale link,542316,1.392849,103.888821,16,anchorvale,sengkang,north-east region,5031.0,1148.5,435.9,676.8,1105.3
pasir ris,187,pasir ris street 11,510187,1.364786,103.959292,13,pasir ris drive,pasir ris,east region,3862.7,559.3,426.1,537.0,514.2
marine parade,35,marine crescent,440035,1.30337,103.912522,10,marine parade,marine parade,central region,603.3,576.8,745.5,907.1,1236.6
ang mo kio,354,ang mo kio street 32,560354,1.363878,103.852029,30,townsville,ang mo kio,north-east region,774.1,818.7,346.9,520.9,824.8
woodlands,319,woodlands street 31,730319,1.431509,103.7774,12,woodgrove,woodlands,north region,482.7,518.0,671.7,79.8,1186.3
sengkang,351A,anchorvale road,541351,1.394153,103.886574,17,anchorvale,sengkang,north-east region,5145.8,1254.5,512.3,979.1,1211.4
ang mo kio,609,ang mo kio avenue 4,560609,1.379251,103.838032,11,yio chu kang west,ang mo kio,north-east region,786.4,795.5,823.6,1096.5,2416.7
choa chu kang,14,teck whye lane,680014,1.378482,103.755675,25,teck whye,choa chu kang,west region,4919.4,930.9,949.6,758.9,831.9
yishun,677C,yishun ring road,763677,1.422033,103.842063,13,yishun south,yishun,north region,2572.1,1617.6,529.1,467.5,1442.2
jurong east,201,jurong east street 21,600201,1.336406,103.743075,25,toh guan,jurong east,west region,1365.7,421.3,975.0,1066.7,617.5
punggol,268C,punggol field,823268,1.403474,103.897938,16,matilda,punggol,north-east region,6170.8,969.2,522.2,903.8,1034.2
geylang,5,pine close,391005,1.307043,103.882688,19,aljunied,geylang,central region,201.4,122.0,990.6,667.6,999.5
tampines,382,tampines street 32,520382,1.354098,103.958752,12,tampines east,tampines,east region,2342.9,802.3,570.3,396.0,1036.6
jurong west,648C,jurong west street 61,643648,1.338968,103.69795,16,jurong west central,jurong west,west region,2196.4,363.3,169.5,792.7,413.3
pasir ris,519,pasir ris street 52,510519,1.374063,103.945122,14,pasir ris central,pasir ris,east region,4447.5,907.5,393.8,1703.6,1652.3
kallang/whampoa,16,upper boon keng road,380016,1.315432,103.871652,16,boon keng,kallang,central region,220.1,696.4,1241.4,1820.3,2121.9
bedok,94D,bedok north avenue 4,463094,1.333622,103.941297,17,bedok north,bedok,east region,584.9,1412.4,203.6,272.6,2226.0
yishun,350A,yishun avenue 11,761350,1.426042,103.844359,4,yishun east,yishun,north region,2264.3,1380.0,177.1,997.6,1204.2
choa chu kang,238,choa chu kang central,680238,1.379146,103.74821,4,choa chu kang central,choa chu kang,west region,5490.7,935.2,476.5,1309.8,2020.9
tampines,864,tampines street 83,520864,1.355064,103.935733,13,tampines west,tampines,east region,2341.5,1348.5,708.6,346.9,740.7
kallang/whampoa,19,saint george's road,320019,1.324446,103.862611,4,bendemeer,kallang,central region,1090.6,831.3,859.7,314.7,2034.5
tampines,826,tampines street 81,520826,1.34934,103.933611,4,tampines west,tampines,east region,2331.2,1005.0,669.9,905.4,1550.0
choa chu kang,297,choa chu kang avenue 2,680297,1.377079,103.741912,16,keat hong,choa chu kang,west region,5087.3,463.9,228.8,882.9,2537.1
jurong west,830A,jurong west street 81,641830,1.345258,103.694214,15,yunnan,jurong west,west region,2799.0,897.7,959.7,1359.0,633.5
ang mo kio,308A,ang mo kio avenue 1,561308,1.365483,103.844085,30,townsville,ang mo kio,north-east region,786.3,384.8,857.7,726.6,881.8
yishun,129,yishun street 11,760129,1.433712,103.831815,4,yishun west,yishun,north region,758.4,785.7,134.8,684.5,1074.0
woodlands,776,woodlands crescent,730776,1.44807,103.799763,14,woodlands east,woodlands,north region,3468.8,1110.3,366.3,478.9,2620.3
tampines,212,tampines street 23,520212,1.354434,103.954405,12,tampines east,tampines,east region,2232.1,814.0,822.2,737.0,658.5
hougang,622,hougang avenue 8,530622,1.37006,103.882823,4,hougang west,hougang,north-east region,1886.0,1330.4,246.8,422.1,1486.8
sengkang,226B,compassvale walk,542226,1.387712,103.899302,16,sengkang town centre,sengkang,north-east region,4413.6,951.6,541.3,701.1,994.7
bishan,401,sin ming avenue,570401,1.362505,103.833185,4,upper thomson,bishan,central region,1379.9,502.8,429.7,892.9,1508.3
bishan,307,shunfu road,570307,1.35048,103.838771,13,upper thomson,bishan,central region,360.4,355.0,1070.1,1187.6,1373.0
bukit merah,1,jalan bukit merah,150001,1.286454,103.808242,14,alexandra hill,bukit merah,central region,31.0,1305.4,1490.9,955.8,675.8
yishun,171,yishun avenue 7,760171,1.436916,103.832132,13,yishun west,yishun,north region,897.2,1046.2,611.8,426.3,1112.9
woodlands,341,woodlands avenue 1,730341,1.431531,103.78112,12,woodgrove,woodlands,north region,665.7,1053.9,798.2,660.2,869.0
bukit batok,441C,bukit batok west avenue 8,653441,1.355568,103.738704,15,brickworks,bukit batok,west region,1602.8,815.2,853.9,1122.9,1654.6
tampines,260,tampines street 21,520260,1.35464,103.950101,11,tampines east,tampines,east region,1953.4,950.7,668.2,166.1,708.1
bukit merah,6B,boon tiong road,165006,1.286546,103.830824,21,tiong bahru,bukit merah,central region,303.1,441.6,818.2,1203.0,560.9
woodlands,579,woodlands drive 16,730579,1.430713,103.795709,12,woodlands south,woodlands,north region,2335.5,547.2,756.7,666.1,1509.7
bedok,401,bedok north avenue 3,460401,1.330982,103.933605,13,bedok north,bedok,east region,613.0,680.8,412.5,498.1,1519.5
bukit batok,229,bukit batok east avenue 3,650229,1.348277,103.754681,10,bukit batok central,bukit batok,west region,2398.1,721.2,448.0,878.9,864.5
bukit merah,165,bukit merah central,150165,1.283056,103.816693,8,bukit merah,bukit merah,central region,280.4,1734.9,930.3,930.3,1764.0
serangoon,307,serangoon avenue 2,550307,1.354628,103.867069,16,serangoon central,serangoon,north-east region,1299.2,830.9,771.2,894.5,794.6
pasir ris,114,pasir ris street 11,510114,1.368451,103.954961,13,pasir ris drive,pasir ris,east region,4010.1,1192.3,708.1,374.2,1086.6
yishun,231,yishun street 21,760231,1.434071,103.837079,12,northland,yishun,north region,1393.8,750.6,247.8,398.5,957.3
woodlands,878,woodlands avenue 9,730878,1.445433,103.791997,12,midview,woodlands,north region,2267.8,1464.4,650.6,896.0,1741.3
kallang/whampoa,38B,bendemeer road,332038,1.320533,103.866795,26,bendemeer,kallang,central region,552.4,775.1,300.0,902.9,1849.0
jurong west,732,jurong west street 73,640732,1.345841,103.699605,16,yunnan,jurong west,west region,1944.8,453.0,185.0,661.7,743.3
bukit batok,147,bukit batok west avenue 6,650147,1.349578,103.743601,4,bukit batok west,bukit batok,west region,1591.0,907.9,594.9,609.8,802.4
woodlands,162,woodlands street 13,730162,1.433029,103.773134,10,woodlands west,woodlands,north region,1106.3,665.5,204.0,690.5,1849.5
sengkang,197,rivervale drive,540197,1.392607,103.903563,17,rivervale,sengkang,north-east region,4937.1,1235.4,313.7,330.6,1192.3
yishun,512C,yishun street 51,763512,1.414958,103.842655,13,lower seletar,yishun,north region,3140.3,1390.0,567.0,750.8,2072.9
woodlands,160,woodlands street 13,730160,1.433333,103.774922,12,woodlands west,woodlands,north region,1134.4,684.3,359.7,491.1,1711.3
punggol,267C,punggol field,823267,1.404291,103.898319,16,matilda,punggol,north-east region,6219.4,1017.8,580.3,952.4,1082.8
sembawang,484,admiralty link,750484,1.457071,103.815308,16,sembawang north,sembawang,north region,3817.8,1282.8,352.1,614.8,1238.5
bedok,71,bedok south road,460071,1.320416,103.942732,16,bedok south,bedok,east region,908.8,835.0,623.5,531.9,2174.5
choa chu kang,818C,choa chu kang avenue 1,683818,1.376722,103.74815,20,keat hong,choa chu kang,west region,4676.8,1300.9,949.8,1427.7,1763.8
bedok,52,chai chee street,460052,1.328697,103.92095,14,kembangan,bedok,east region,994.7,1404.3,1405.6,1990.7,1404.7
hougang,407,hougang avenue 10,530407,1.372965,103.895673,13,hougang east,hougang,north-east region,2542.9,879.9,807.6,730.6,509.3
bukit merah,63,telok blangah heights,100063,1.274831,103.810941,12,telok blangah drive,bukit merah,central region,642.7,956.0,833.7,1896.7,1615.8
jurong west,337C,tah ching road,613337,1.33719,103.722004,20,taman jurong,jurong west,west region,378.2,1175.7,562.9,836.2,2253.7
jurong east,213,jurong east street 21,600213,1.339033,103.739774,25,yuhua east,jurong east,west region,800.0,427.4,785.1,913.5,904.4
bedok,403,bedok north avenue 3,460403,1.3298,103.933844,11,bedok north,bedok,east region,688.7,805.6,537.4,623.0,1581.5
kallang/whampoa,104,jalan rajah,321104,1.327805,103.853262,25,balestier,novena,central region,821.5,1361.8,1448.6,1517.0,1520.0
bukit panjang,171,gangsa road,670171,1.37897,103.766375,22,jelebu,bukit panjang,west region,5280.7,946.8,482.2,551.7,1017.2
bukit panjang,232,pending road,670232,1.376471,103.772398,12,bangkit,bukit panjang,west region,5083.3,1548.5,647.1,1176.2,1800.7
sengkang,326C,anchorvale road,543326,1.395717,103.888065,16,anchorvale,sengkang,north-east region,5437.6,1207.1,403.3,1109.0,1164.0
pasir ris,608,elias road,510608,1.375821,103.943079,17,pasir ris west,pasir ris,east region,4553.2,1010.3,533.7,1806.4,1642.2
sengkang,164B,rivervale crescent,542164,1.389694,103.907294,18,rivervale,sengkang,north-east region,4683.9,1539.2,528.6,762.8,1170.7
geylang,64,circuit road,370064,1.326984,103.887148,10,macpherson,geylang,central region,197.4,394.6,1301.5,1611.8,3582.6
yishun,672B,yishun avenue 4,762672,1.418591,103.841824,13,yishun south,yishun,north region,2714.3,1382.8,410.1,736.8,1584.5
bukit panjang,507,jelapang road,670507,1.386556,103.768,16,saujana,bukit panjang,west region,6300.5,1558.8,311.7,576.2,1578.9
yishun,770,yishun avenue 3,760770,1.424486,103.832251,12,yishun west,yishun,north region,1515.3,901.5,930.6,1172.8,970.0
bukit merah,17,telok blangah crescent,090017,1.277768,103.821702,30,telok blangah way,bukit merah,central region,511.4,1482.0,791.1,555.4,1514.6
yishun,805,yishun ring road,760805,1.417427,103.831589,13,khatib,yishun,north region,2077.7,513.8,462.2,583.5,1694.9
woodlands,688C,woodlands drive 75,733688,1.443409,103.807303,16,woodlands east,woodlands,north region,3409.1,933.8,954.8,940.7,1685.6
bukit batok,182,bukit batok west avenue 8,650182,1.345564,103.743822,12,bukit batok west,bukit batok,west region,1201.9,586.6,822.9,553.9,1009.3
pasir ris,191,pasir ris street 12,510191,1.366067,103.958731,13,pasir ris drive,pasir ris,east region,4116.1,812.7,679.5,475.9,767.6
bukit batok,341,bukit batok street 34,650341,1.362805,103.749157,12,hong kah north,bukit batok,west region,3543.1,941.3,871.8,673.5,2166.6
sengkang,418A,fernvale link,791418,1.391007,103.879607,22,fernvale,sengkang,north-east region,4342.1,2229.2,685.9,268.0,494.2
jurong west,140B,corporation drive,612140,1.327276,103.723575,17,taman jurong,jurong west,west region,1121.6,1994.4,1668.5,598.8,3110.6
punggol,165B,punggol central,822165,1.395128,103.914467,19,punggol field,punggol,north-east region,5636.6,342.9,457.9,468.5,430.3
geylang,124,paya lebar way,381124,1.323089,103.883739,21,macpherson,geylang,central region,385.8,747.4,488.4,809.8,3037.3
bukit panjang,478,segar road,670478,1.389531,103.772875,15,fajar,bukit panjang,west region,6263.4,2366.7,817.5,1089.9,2385.7
bedok,86,bedok north street 4,460086,1.332541,103.938989,4,bedok north,bedok,east region,397.6,1193.3,432.9,484.6,2288.6
bukit merah,106,spottiswoode park road,080106,1.273567,103.834058,25,everton park,bukit merah,central region,1345.4,1097.3,887.7,2227.3,1651.8
jurong east,227,jurong east street 21,600227,1.341821,103.736088,25,yuhua east,jurong east,west region,621.0,529.7,778.4,907.7,1439.8
clementi,428,clementi avenue 3,120428,1.312512,103.763269,12,clementi central,clementi,west region,242.2,654.7,427.9,508.3,456.0
choa chu kang,688B,choa chu kang drive,682688,1.403436,103.750337,20,yew tee,choa chu kang,west region,6935.8,1058.3,490.9,816.5,3150.1
jurong east,258,jurong east street 24,600258,1.343786,103.738636,12,yuhua east,jurong east,west region,370.3,808.1,417.9,494.4,1754.9
toa payoh,105B,bidadari park drive,342105,1.333474,103.87049,17,sennett,toa payoh,central region,1715.1,407.5,877.8,711.0,2269.3
woodlands,534,woodlands drive 14,730534,1.430612,103.791674,12,woodlands south,woodlands,north region,2027.8,887.8,468.4,1156.4,1341.7
hougang,241,hougang street 22,530241,1.356509,103.891841,12,lorong ah soo,hougang,north-east region,476.5,1217.5,493.2,469.1,1096.6
clementi,117,clementi street 13,120117,1.324461,103.771185,15,sunset way,clementi,west region,1484.6,914.5,1602.5,1708.8,1748.3
yishun,437,yishun avenue 6,760437,1.421688,103.847561,12,yishun east,yishun,north region,2908.6,2020.5,998.1,658.9,1840.6
bishan,187,bishan street 13,570187,1.349551,103.851544,11,bishan east,bishan,central region,1953.3,695.2,775.2,616.1,578.8
geylang,125,aljunied road,380125,1.32327,103.881752,20,macpherson,geylang,central region,695.7,912.1,212.2,639.6,2867.0
sengkang,257B,compassvale road,542257,1.392598,103.89698,15,sengkang town centre,sengkang,north-east region,4758.9,336.3,446.9,659.1,293.2
yishun,650,yishun avenue 4,760650,1.422899,103.839086,4,yishun south,yishun,north region,2273.9,1419.3,542.2,923.9,1144.1
choa chu kang,254,choa chu kang avenue 2,680254,1.378222,103.743885,16,keat hong,choa chu kang,west region,4907.6,696.5,281.5,1115.5,2269.7
punggol,662D,edgedale plains,824662,1.401673,103.918003,19,waterway east,punggol,north-east region,7054.5,1525.2,1033.3,1365.0,1121.0
sembawang,509B,wellington circle,752509,1.453285,103.821213,13,admiralty,sembawang,north region,2963.0,733.9,224.6,1108.4,861.2
ang mo kio,210,ang mo kio avenue 3,560210,1.36856,103.843235,10,shangri-la,ang mo kio,north-east region,589.3,510.1,513.3,404.0,649.1
jurong west,684B,jurong west street 64,642684,1.34384,103.704217,17,jurong west central,jurong west,west region,1293.3,280.7,594.7,676.2,947.4
tampines,523D,tampines central 7,524523,1.359358,103.938909,17,tampines east,tampines,east region,2247.7,884.1,672.2,1255.1,967.7
ang mo kio,305,ang mo kio avenue 1,560305,1.366085,103.846014,16,townsville,ang mo kio,north-east region,716.1,396.1,539.1,647.7,623.8
jurong west,662B,jurong west street 64,642662,1.33702,103.703388,16,jurong west central,jurong west,west region,1884.4,397.7,625.5,617.5,524.2
woodlands,686A,woodlands drive 73,731686,1.442136,103.80562,15,woodlands east,woodlands,north region,3411.7,604.3,522.6,627.4,1966.1
clementi,307,clementi avenue 4,120307,1.321416,103.767105,12,clementi north,clementi,west region,1128.3,812.4,831.1,1137.5,942.0
yishun,321,yishun central,760321,1.42888,103.841529,12,yishun east,yishun,north region,1742.5,879.6,649.8,715.5,851.4
serangoon,319,serangoon avenue 2,550319,1.352524,103.868044,11,serangoon central,serangoon,north-east region,1326.5,528.3,599.1,620.8,543.6
toa payoh,130A,lorong 1 toa payoh,311130,1.337394,103.843184,40,toa payoh west,toa payoh,central region,382.9,637.2,433.4,695.2,920.6
bishan,271,bishan street 24,570271,1.356616,103.842318,14,marymount,bishan,central region,1357.1,1374.1,1163.9,499.7,1468.6
bukit batok,290G,bukit batok street 24,656290,1.343378,103.757175,19,bukit batok south,bukit batok,west region,2639.9,1505.3,495.4,794.1,1700.0
bedok,10,chai chee road,467010,1.327276,103.924804,15,kembangan,bedok,east region,875.6,1027.8,1256.6,1872.8,1028.2
sengkang,471C,fernvale street,793471,1.395953,103.881504,22,fernvale,sengkang,north-east region,5058.4,1881.4,937.1,1064.4,1038.7
marine parade,58,marine terrace,440058,1.306118,103.914026,10,marine parade,marine parade,central region,165.5,132.4,478.9,478.6,1206.0
marine parade,34,marine crescent,440034,1.30415,103.912124,10,marine parade,marine parade,central region,554.7,528.1,696.8,858.4,1086.9
bishan,502,bishan street 11,570502,1.348579,103.848348,6,bishan east,bishan,central region,1492.5,524.5,1107.7,442.5,512.8
tampines,437,tampines street 43,520437,1.359966,103.951588,12,tampines east,tampines,east region,2826.5,819.4,696.8,796.2,1327.4
ang mo kio,176,ang mo kio avenue 4,560176,1.375848,103.836157,11,kebun bahru,ang mo kio,north-east region,426.1,512.0,727.7,869.8,1885.3
hougang,138,lorong ah soo,530138,1.351624,103.884448,13,lorong ah soo,hougang,north-east region,891.1,1433.2,808.7,202.3,1199.1
bishan,211,bishan street 23,570211,1.356153,103.848977,13,marymount,bishan,central region,1182.5,1031.7,890.7,655.1,1131.2
jurong east,214,jurong east street 21,600214,1.339286,103.738985,10,yuhua east,jurong east,west region,899.7,576.6,884.8,1013.2,955.1
hougang,401,hougang avenue 10,530401,1.374843,103.896994,13,hougang east,hougang,north-east region,2544.7,1009.7,565.2,832.5,631.7
queenstown,3,holland close,271003,1.308209,103.796639,28,holland drive,queenstown,central region,547.3,601.0,1265.0,1395.7,547.0
jurong east,315,jurong east street 32,600315,1.346034,103.732851,13,yuhua west,jurong east,west region,689.9,1197.9,294.0,1033.5,2467.0
pasir ris,120,pasir ris street 11,510120,1.367314,103.954363,4,pasir ris drive,pasir ris,east region,4138.3,1266.6,900.3,442.1,1221.5
woodlands,780A,woodlands crescent,731780,1.448679,103.800771,16,woodlands east,woodlands,north region,3397.6,1251.5,332.1,444.7,2549.8
pasir ris,586,pasir ris street 53,510586,1.375264,103.947901,13,pasir ris central,pasir ris,east region,4172.6,584.9,405.5,1381.0,1372.3
sengkang,320C,anchorvale drive,543320,1.391254,103.891303,15,anchorvale,sengkang,north-east region,4952.1,1086.1,221.7,607.5,1043.0
kallang/whampoa,110,whampoa road,321110,1.326821,103.855891,14,balestier,novena,central region,701.2,1558.9,1094.3,1108.5,1930.7
pasir ris,565,pasir ris street 51,510565,1.368827,103.950296,13,pasir ris central,pasir ris,east region,4165.8,597.6,1195.5,533.8,1560.7
sengkang,213A,compassvale lane,541213,1.385816,103.900207,16,sengkang town centre,sengkang,north-east region,3906.9,1263.8,762.9,398.9,1378.3
tampines,365,tampines street 34,520365,1.357686,103.960621,10,tampines east,tampines,east region,2853.6,805.5,747.2,330.5,1534.9
choa chu kang,801C,keat hong close,683801,1.375232,103.742767,13,keat hong,choa chu kang,west region,4644.4,667.6,608.4,1080.3,2434.7
choa chu kang,668,choa chu kang crescent,680668,1.401741,103.749496,16,yew tee,choa chu kang,west region,7314.1,783.5,623.1,544.4,3010.8
